node_id,node_type,properties_json
CASE-1084,Case,"{""case_type"": ""Extortion"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1085,Case,"{""case_type"": ""Theft"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1086,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""CLOSED"", ""priority"": ""CRITICAL""}"
CASE-1087,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1088,Case,"{""case_type"": ""Extortion"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""CRITICAL""}"
CASE-1089,Case,"{""case_type"": ""Extortion"", ""case_status"": ""CLOSED"", ""priority"": ""CRITICAL""}"
CASE-1090,Case,"{""case_type"": ""Fraud"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""LOW""}"
CASE-1091,Case,"{""case_type"": ""Extortion"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1092,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""MEDIUM""}"
CASE-1093,Case,"{""case_type"": ""Extortion"", ""case_status"": ""OPEN"", ""priority"": ""CRITICAL""}"
CASE-1094,Case,"{""case_type"": ""Assault"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1095,Case,"{""case_type"": ""Robbery"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1096,Case,"{""case_type"": ""Fraud"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1097,Case,"{""case_type"": ""Robbery"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""CRITICAL""}"
CASE-1098,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""MEDIUM""}"
CASE-1099,Case,"{""case_type"": ""Assault"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1100,Case,"{""case_type"": ""Assault"", ""case_status"": ""OPEN"", ""priority"": ""HIGH""}"
CASE-1101,Case,"{""case_type"": ""Theft"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1102,Case,"{""case_type"": ""Robbery"", ""case_status"": ""CLOSED"", ""priority"": ""LOW""}"
CASE-1103,Case,"{""case_type"": ""Fraud"", ""case_status"": ""CLOSED"", ""priority"": ""CRITICAL""}"
CASE-1104,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
CASE-1105,Case,"{""case_type"": ""Cyber Crime"", ""case_status"": ""CLOSED"", ""priority"": ""LOW""}"
CASE-1106,Case,"{""case_type"": ""Extortion"", ""case_status"": ""CLOSED"", ""priority"": ""LOW""}"
CASE-1107,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""CLOSED"", ""priority"": ""HIGH""}"
CASE-1108,Case,"{""case_type"": ""Fraud"", ""case_status"": ""UNDER_INVESTIGATION"", ""priority"": ""HIGH""}"
CASE-1109,Case,"{""case_type"": ""Organized Crime"", ""case_status"": ""OPEN"", ""priority"": ""LOW""}"
LOC-0001,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-1""}"
LOC-0002,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-2""}"
LOC-0003,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-3""}"
LOC-0004,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0005,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-2""}"
LOC-0006,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-3""}"
LOC-0007,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-1""}"
LOC-0008,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0009,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0010,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-1""}"
LOC-0011,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-2""}"
LOC-0012,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-3""}"
LOC-0013,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-1""}"
LOC-0014,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-2""}"
LOC-0015,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-3""}"
LOC-0016,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0017,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0018,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-3""}"
LOC-0019,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-1""}"
LOC-0020,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0021,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-3""}"
LOC-0022,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-1""}"
LOC-0023,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-2""}"
LOC-0024,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-3""}"
LOC-0025,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-1""}"
LOC-0026,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-2""}"
LOC-0027,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-3""}"
LOC-0028,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-1""}"
LOC-0029,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-2""}"
LOC-0030,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-3""}"
LOC-0031,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-1""}"
LOC-0032,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0033,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-3""}"
LOC-0034,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0035,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-2""}"
LOC-0036,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0037,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-1""}"
LOC-0038,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-2""}"
LOC-0039,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0040,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-1""}"
LOC-0041,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-2""}"
LOC-0042,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-3""}"
LOC-0043,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-1""}"
LOC-0044,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-2""}"
LOC-0045,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-3""}"
LOC-0046,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-1""}"
LOC-0047,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-2""}"
LOC-0048,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-3""}"
LOC-0049,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-1""}"
LOC-0050,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0051,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-3""}"
LOC-0052,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-1""}"
LOC-0053,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-2""}"
LOC-0054,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-3""}"
LOC-0055,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0056,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-2""}"
LOC-0057,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-3""}"
LOC-0058,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0059,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0060,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0061,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0062,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-2""}"
LOC-0063,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-3""}"
LOC-0064,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-1""}"
LOC-0065,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-2""}"
LOC-0066,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-3""}"
LOC-0067,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-1""}"
LOC-0068,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-2""}"
LOC-0069,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-3""}"
LOC-0070,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0071,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0072,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0073,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-1""}"
LOC-0074,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-2""}"
LOC-0075,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-3""}"
LOC-0076,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0077,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-2""}"
LOC-0078,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-3""}"
LOC-0079,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-1""}"
LOC-0080,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0081,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-3""}"
LOC-0082,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0083,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-2""}"
LOC-0084,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-3""}"
LOC-0085,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0086,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-2""}"
LOC-0087,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-3""}"
LOC-0088,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-1""}"
LOC-0089,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0090,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0091,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0092,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-2""}"
LOC-0093,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-3""}"
LOC-0094,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0095,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-2""}"
LOC-0096,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-3""}"
LOC-0097,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-1""}"
LOC-0098,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-2""}"
LOC-0099,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-3""}"
LOC-0100,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-1""}"
LOC-0101,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-2""}"
LOC-0102,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-3""}"
LOC-0103,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-1""}"
LOC-0104,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0105,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-3""}"
LOC-0106,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-1""}"
LOC-0107,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-2""}"
LOC-0108,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-3""}"
LOC-0109,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-1""}"
LOC-0110,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-2""}"
LOC-0111,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-3""}"
LOC-0112,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-1""}"
LOC-0113,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-2""}"
LOC-0114,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0115,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-1""}"
LOC-0116,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-2""}"
LOC-0117,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-3""}"
LOC-0118,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-1""}"
LOC-0119,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-2""}"
LOC-0120,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-3""}"
LOC-0121,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-1""}"
LOC-0122,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-2""}"
LOC-0123,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-3""}"
LOC-0124,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-1""}"
LOC-0125,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-2""}"
LOC-0126,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-3""}"
LOC-0127,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-1""}"
LOC-0128,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0129,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-3""}"
LOC-0130,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-1""}"
LOC-0131,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0132,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-3""}"
LOC-0133,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-1""}"
LOC-0134,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-2""}"
LOC-0135,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-3""}"
LOC-0136,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-1""}"
LOC-0137,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-2""}"
LOC-0138,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-3""}"
LOC-0139,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-1""}"
LOC-0140,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0141,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-3""}"
LOC-0142,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-1""}"
LOC-0143,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0144,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0145,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-1""}"
LOC-0146,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0147,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-3""}"
LOC-0148,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-1""}"
LOC-0149,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-2""}"
LOC-0150,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-3""}"
LOC-0151,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-1""}"
LOC-0152,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0153,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-3""}"
LOC-0154,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-1""}"
LOC-0155,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-2""}"
LOC-0156,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-3""}"
LOC-0157,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-1""}"
LOC-0158,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-2""}"
LOC-0159,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-3""}"
LOC-0160,Location,"{""location"": ""Kolkata"", ""latitude"": 22.5726, ""longitude"": 88.3639, ""phase"": ""Phase-1""}"
LOC-0161,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0162,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-3""}"
LOC-0163,Location,"{""location"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.209, ""phase"": ""Phase-1""}"
LOC-0164,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-2""}"
LOC-0165,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-3""}"
LOC-0166,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-1""}"
LOC-0167,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-2""}"
LOC-0168,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-3""}"
LOC-0169,Location,"{""location"": ""Mumbai"", ""latitude"": 19.076, ""longitude"": 72.8777, ""phase"": ""Phase-1""}"
LOC-0170,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-2""}"
LOC-0171,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-3""}"
LOC-0172,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-1""}"
LOC-0173,Location,"{""location"": ""Jaipur"", ""latitude"": 26.9124, ""longitude"": 75.7873, ""phase"": ""Phase-2""}"
LOC-0174,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-3""}"
LOC-0175,Location,"{""location"": ""Hyderabad"", ""latitude"": 17.385, ""longitude"": 78.4867, ""phase"": ""Phase-1""}"
LOC-0176,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-2""}"
LOC-0177,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-3""}"
LOC-0178,Location,"{""location"": ""Lucknow"", ""latitude"": 26.8467, ""longitude"": 80.9462, ""phase"": ""Phase-1""}"
LOC-0179,Location,"{""location"": ""Pune"", ""latitude"": 18.5204, ""longitude"": 73.8567, ""phase"": ""Phase-2""}"
LOC-0180,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-3""}"
LOC-0181,Location,"{""location"": ""Ahmedabad"", ""latitude"": 23.0225, ""longitude"": 72.5714, ""phase"": ""Phase-1""}"
LOC-0182,Location,"{""location"": ""Bengaluru"", ""latitude"": 12.9716, ""longitude"": 77.5946, ""phase"": ""Phase-2""}"
LOC-0183,Location,"{""location"": ""Chennai"", ""latitude"": 13.0827, ""longitude"": 80.2707, ""phase"": ""Phase-3""}"
